operator,charger_type,power_band,plan_name,customer_type,price_per_kwh,monthly_fee_krw,quota_kwh,effective_date,crawl_date,source_url,power_band_clean,power_band_std
Chargev,slow,3kw,,member,259.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,3kw,under_30kw
Chargev,slow,3kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,3kw,under_30kw
Chargev,slow,under_30kw,,member,295.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,under_30kw,under_30kw
Chargev,slow,under_30kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,under_30kw,under_30kw
Chargev,fast,30_49kw,,member,307.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,30_49kw,30_49kw
Chargev,fast,30_49kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,30_49kw,30_49kw
Chargev,fast,50_99kw,,member,325.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,50_99kw,50_99kw
Chargev,fast,50_99kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,50_99kw,50_99kw
Chargev,fast,100-199kw,,member,345.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,100_199kw,100_199kw
Chargev,fast,100-199kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,100_199kw,100_199kw
Chargev,fast,200_kw,,member,345.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,200_kw,200_kw
Chargev,fast,200_kw,,non_member,470.0,,,2026-08-01,2026-08-28,https://www.gschargev.co.kr/mobile/mobileCost.html,200_kw,200_kw
Happecharger,fast,50kw_,,member,398.0,,,2025-08-01,2026-08-28,https://www.happecharger.com/happecharger/membership,50kw_,
Happecharger,fast,50kw_,,non_member,550.0,,,2025-08-01,2026-08-28,https://www.happecharger.com/happecharger/membership,50kw_,
Happecharger,slow,7kw,,member,298.0,,,2025-08-01,2026-08-28,https://www.happecharger.com/happecharger/membership,7kw,over_30kw
Happecharger,slow,7kw,,non_member,550.0,,,2025-08-01,2026-08-28,https://www.happecharger.com/happecharger/membership,7kw,over_30kw
E-pit,fast,ultra_fast,,prime_member,325.0,,,,2026-08-28,https://www.e-pit.co.kr/brand-web/epit/charging-fare,ultra_fast,200_kw
E-pit,fast,ultra_fast,,member,460.0,,,,2026-08-28,https://www.e-pit.co.kr/brand-web/epit/charging-fare,ultra_fast,200_kw
E-pit,fast,ultra_fast,,non_member,530.0,,,,2026-08-28,https://www.e-pit.co.kr/brand-web/epit/charging-fare,ultra_fast,200_kw
EVSIS,fast,100_kw,,member,380.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,100_kw,
EVSIS,fast,50kw,,member,360.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,50kw,50_99kw
EVSIS,fast,mid_fast,,member,324.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,mid_fast,
EVSIS,slow,non_residential_slow,,member,310.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,non_residential_slow,under_30kw
EVSIS,slow,residential_slow,,member,271.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,residential_slow,under_30kw
EVSIS,fast,100_kw,,subscription,266.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,100_kw,
EVSIS,fast,50kw,,subscription,252.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,50kw,50_99kw
EVSIS,fast,mid_fast,,subscription,226.8,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,mid_fast,
EVSIS,slow,non_residential_slow,,subscription,248.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,non_residential_slow,under_30kw
EVSIS,slow,residential_slow,,subscription,216.8,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,residential_slow,under_30kw
EVSIS,fast,100_kw,,non_member,550.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,100_kw,
EVSIS,fast,50kw,,non_member,550.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,50kw,50_99kw
EVSIS,fast,mid_fast,,non_member,550.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,mid_fast,
EVSIS,slow,non_residential_slow,,non_member,550.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,non_residential_slow,under_30kw
EVSIS,slow,residential_slow,,non_member,550.0,,,2026-05-01,2026-08-29,https://www.evsis.co.kr/h/chrgr/fee,residential_slow,under_30kw
기후에너지환경부,slow,under_30kw,,member,295.0,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,under_30kw,under_30kw
기후에너지환경부,fast,30_49kw,,member,307.2,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,30_49kw,30_49kw
기후에너지환경부,fast,50_99kw,,member,325.6,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,50_99kw,50_99kw
기후에너지환경부,fast,100_199kw,,member,348.4,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,100_199kw,100_199kw
기후에너지환경부,fast,200_kw,,member,393.1,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,200_kw,200_kw
기후에너지환경부,slow,under_30kw,,non_member,295.0,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,under_30kw,under_30kw
기후에너지환경부,fast,30_49kw,,non_member,307.2,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,30_49kw,30_49kw
기후에너지환경부,fast,50_99kw,,non_member,325.6,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,50_99kw,50_99kw
기후에너지환경부,fast,100_199kw,,non_member,348.4,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,100_199kw,100_199kw
기후에너지환경부,fast,200_kw,,non_member,393.1,,,2026-08-01,2026-08-28,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,200_kw,200_kw
SK일렉링크,slow,under_30kw,,member,295.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,under_30kw,under_30kw
SK일렉링크,fast,over_30kw,,member,391.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,over_30kw,
SK일렉링크,slow,,공용 충전소,member,295.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,,
SK일렉링크,slow,,아파트 충전소,member,295.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,,
SK일렉링크,fast,,스타터,subscription,315.0,,50.0,,2026-08-27,https://m.skelectlink.co.kr/service/membership,,
SK일렉링크,fast,,베이직,subscription,305.0,,150.0,,2026-08-27,https://m.skelectlink.co.kr/service/membership,,
SK일렉링크,fast,,프로,subscription,300.0,,300.0,,2026-08-27,https://m.skelectlink.co.kr/service/membership,,
SK일렉링크,fast,,마스터,subscription,295.0,,,,2026-08-27,https://m.skelectlink.co.kr/service/membership,,
SK일렉링크,slow,,,non_member,590.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,,
SK일렉링크,fast,,,non_member,590.0,,,,2026-08-27,https://m.skelectlink.co.kr/charging-plans?modal=charging-price,,
